uBTM GEE,UBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,1.0000,0.86705,0.85968,0.96763,0.96694
uBTM GEE Smoothed,0.86705,1.00000,0.79525,0.86492,0.87827
Terrset UM,0.85968,0.79525,1,0.79048,0.80298
eBTM,0.96763,0.86492,0.79048,1,0.99820
sBTM,0.96694,0.87827,0.80298,0.99820,0
