uBTM GEE,uBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,0,3.91,5.43,5.22,5.22
uBTM GEE Smoothed,3.91,0,5.37,4.60,4.59
Terrset UM,5.43,5.37,0,5.42,5.40
eBTM,5.22,4.60,5.42,0,1.99
sBTM,5.22,4.59,5.40,1.99,0
