uBTM GEE,UBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,1.000,0.99037,0.98508,0.77569,0.98979
uBTM GEE Smoothed,0.99037,1.0000,0.98161,0.77703,0.98312
Terrset UM,0.98508,0.98161,1.0000,0.75696,0.98735
eBTM,0.77569,0.77703,0.75696,1.0000,0.80055
sBTM,0.98979,0.98312,0.98735,0.80055,1.00000
