uBTM GEE,uBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,0,4,16,0,8
uBTM GEE Smoothed,4,0,16,4,8
Terrset UM,16,16,0,16,20
eBTM,0,4,16,0,12
sBTM,8,8,20,8,0
