uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,0,2,4,12,0
uBTMs,2,0,6,10,2
tSLI,4,6,0,14,4
eBTM,12,10,14,0,12
sBTM,0,2,4,12,0
