uBTM GEE,uBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,0,33,75141108,220,2375579,879,7697144,490,3626313
uBTM GEE Smoothed,33,75141108,0,253,988969,913,5211255,524,1140424
Terrset UM,220,2375579,253,988969,0,659,5321565,270,1250734
eBTM,879,7697144,913,5211255,659,5321565,0,389,4070831
sBTM,490,3626313,524,1140424,270,1250734,389,4070831,0
