uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,0,6,6,9,53,7,86,0
uBTMs,6,6,0,11,24,6,03,6,6
tSLI,9,53,11,24,0,11,67,9,53
eBTM,7,86,6,03,11,67,0,7,86
sBTM,0,6,6,9,53,7,86,0
