uBTM GEE,uBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,0,11.21,16.23,12.61,10.23
uBTM GEE Smoothed,11.21,0,16.98,11.71,10.08
Terrset UM,16.23,16.98,0,18.42,16.79
eBTM,12.61,11.71,18.42,0,10.99
sBTM,10.23,10.08,16.79,10.99,0
