uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,0,10,10,4,0
uBTMs,10,0,14,8,10
tSLI,10,14,0,12,10
eBTM,4,8,12,0,4
sBTM,0,10,10,4,0
