uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,1,0,9744,0,98666,0,78258,1
uBTMs,0,9744,1,0,96857,0,79297,0,9744
tSLI,0,98666,0,96857,1,0,74215,0,98666
eBTM,0,78258,0,79297,0,74215,1,0,78258
sBTM,1,0,9744,0,98666,0,78258,1
