uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,1,0,75302,0,77065,0,999,1
uBTMs,0,75302,1,0,70074,0,73472,0,75302
tSLI,0,77065,0,70074,1,0,75357,0,77065
eBTM,0,999,0,73472,0,75357,1,0,999
sBTM,1,0,75302,0,77065,0,999,1
