uBTM GEE,UBTM GEE Smoothed,Terrset UM,eBTM,sBTM
uBTM GEE,0,2,4,14,4
uBTM GEE Smoothed,2,0,4,12,2
Terrset UM,4,4,0,16,6
eBTM,14,12,16,0,14
sBTM,4,2,6,14,0
